N,Layout,Algorithm,Type,Repetition_ID,Run_Type,Perf_IPC,Perf_L1-dcache-load-misses,Perf_branch-misses,Perf_branches,Perf_cycles,Perf_dTLB-load-misses,Perf_instructions,Perf_task-clock,Gprof_Runtime_Mean_s,Gprof_Runtime_s
128000,array,insertion,int,1,Individual,3.760388711983993,251774337.0,155453.0,155453.0,24006060076.0,2703.0,90272117329.0,5423899190.0,,5.348983526229858
128000,array,insertion,int,2,Individual,3.7765080636281922,249850857.0,153966.0,153966.0,23900108723.0,2207.0,90258953314.0,5393947647.0,,5.329725980758667
128000,array,insertion,int,3,Individual,3.7513572317904744,251909056.0,154785.0,154785.0,24053664215.0,2443.0,90233887204.0,5427379323.0,,5.320950269699097
128000,array,insertion,int,4,Individual,3.7503452446022956,252048515.0,155291.0,155291.0,24059003949.0,3084.0,90229571050.0,5399393936.0,,5.351558208465576
128000,array,insertion,int,5,Individual,3.7622702649890134,251638117.0,154929.0,154929.0,23988536679.0,2318.0,90251358248.0,5419090373.0,,5.3279805183410645
128000,array,insertion,int,AVG,Mean,3.760173903398794,251444176.4,154884.8,154884.8,24001474728.4,2551.0,90249177429.0,5412742093.8,5.335839700698853,
128000,array,insertion,double,1,Individual,4.226847493857867,508982525.0,302353.0,302353.0,21396830648.0,4854.0,90441140001.0,4873684186.0,,4.830888509750366
128000,array,insertion,double,2,Individual,4.225988980554102,509668576.0,296738.0,296738.0,21395866923.0,3871.0,90418697846.0,4873679807.0,,4.795111417770386
128000,array,insertion,double,3,Individual,4.2201385626621715,509757943.0,294250.0,294250.0,21428562020.0,5106.0,90431500923.0,4897883958.0,,4.811446189880371
128000,array,insertion,double,4,Individual,4.237023240986082,509977753.0,294491.0,294491.0,21344994883.0,3316.0,90439239398.0,4867336540.0,,4.818121433258057
128000,array,insertion,double,5,Individual,4.243398685819881,509350729.0,301348.0,301348.0,21307263889.0,2495.0,90415215585.0,4925203902.0,,4.818663835525513
128000,array,insertion,double,AVG,Mean,4.23067939277602,509547505.2,297836.0,297836.0,21374703672.6,3928.4,90429158750.6,4887557678.6,4.8148462772369385,
128000,array,bubble,int,1,Individual,2.0870035361305894,509577447.0,2062780495.0,2062780495.0,115849388936.0,18543.0,241778084368.0,25896195009.0,,25.741572618484497
128000,array,bubble,int,2,Individual,2.085617880021622,511132184.0,2062319435.0,2062319435.0,115922049886.0,18755.0,241769099931.0,25928231232.0,,25.64510202407837
128000,array,bubble,int,3,Individual,2.0874447024367067,509822928.0,2062842011.0,2062842011.0,115840300747.0,9099.0,241810222123.0,25808231504.0,,25.65187644958496
128000,array,bubble,int,4,Individual,2.0905890328605445,511208377.0,2062580245.0,2062580245.0,115661222834.0,2523.0,241800083984.0,25837730564.0,,25.659544229507446
128000,array,bubble,int,5,Individual,2.0883236787498185,509742209.0,2063304392.0,2063304392.0,115770888676.0,15321.0,241767088132.0,25773431130.0,,25.533563137054443
128000,array,bubble,int,AVG,Mean,2.0877957660398563,510296629.0,2062765315.6,2062765315.6,115808770215.8,12848.2,241784915707.6,25848763887.8,25.646331691741942,
128000,array,bubble,double,1,Individual,1.5756533467754656,1026441372.0,2111183800.0,2111183800.0,153587496783.0,10451.0,242000653329.0,34185787720.0,,33.975733518600464
128000,array,bubble,double,2,Individual,1.5748544494514989,1026561625.0,2111236655.0,2111236655.0,153661117085.0,9709.0,241993893949.0,34285121573.0,,33.85027742385864
128000,array,bubble,double,3,Individual,1.5744862829286546,1025134688.0,2110936771.0,2110936771.0,153679839407.0,23264.0,241966799109.0,34582905850.0,,33.87730550765991
128000,array,bubble,double,4,Individual,1.5739234800212372,1025208862.0,2110994962.0,2110994962.0,153740759475.0,12581.0,241976191174.0,34496479311.0,,34.209949254989624
128000,array,bubble,double,5,Individual,1.5762094154863597,1024481629.0,2110377243.0,2110377243.0,153514214134.0,11333.0,241970549729.0,34244008492.0,,33.89028477668762
128000,array,bubble,double,AVG,Mean,1.5750253949326434,1025565635.2,2110945886.2,2110945886.2,153636685376.8,13467.6,241981617458.0,34358860589.2,33.96071009635925,
